prompt_language,task,prompt_condition,metric,baseline_n,condition_n,baseline_mean,condition_mean,raw_mean_difference,baseline_sd,condition_sd,denominator,sd_source,hedges_correction,baseline_sd_standardised_effect,signed_standardised_effect,absolute_standardised_effect,bootstrap_unit,confidence_level,bootstrap_replicates,raw_valid_replicates,raw_valid_proportion,raw_interval_status,standardised_valid_replicates,standardised_valid_proportion,standardised_interval_status,raw_difference_ci_lower,raw_difference_ci_upper,standardised_effect_ci_lower,standardised_effect_ci_upper,warning_flags
en,igt,detailed,post_loss_switching_rate,20,20,0.4169522144522145,0.43055403945647847,0.01360182500426399,0.13412136664287025,0.20460529798216856,0.17299113987791861,pooled,0.9801324503311258,0.10141430366186213,0.07706516113953964,0.07706516113953964,independent_cell,0.95,2000,2000,1.0,report,2000,1.0,report,-0.08898531752800044,0.12527534965034928,-0.5892649844696773,0.6875700840864452,
en,igt,role_human,advantageous_choice_rate,20,20,0.8505,0.858,0.007499999999999951,0.010990426455975706,0.01105012502906166,0.01102031616701866,pooled,0.9801324503311258,0.6824121002076363,0.6670401525759555,0.6670401525759555,independent_cell,0.95,2000,2000,1.0,report,2000,1.0,report,0.0010000000000000009,0.014000000000000012,0.08927787146584279,1.3491699023274222,
en,igt,role_human,post_loss_switching_rate,20,20,0.4169522144522145,0.36204545454545456,-0.05490675990675992,0.13412136664287025,0.10543990987798385,0.12063605511046145,pooled,0.9801324503311258,-0.40938115440593525,-0.4461012677998996,0.4461012677998996,independent_cell,0.95,2000,2000,1.0,report,2000,1.0,report,-0.13109018065268066,0.016565559440559402,-1.1045114452833227,0.14601655638995403,
en,igt,reward_loss_emphasis,advantageous_choice_rate,20,20,0.8505,0.8625,0.01200000000000001,0.010990426455975706,0.011180339887498959,0.011085789860993463,pooled,0.9801324503311258,1.0918593603322262,1.0609608833880146,1.0609608833880146,independent_cell,0.95,2000,2000,1.0,report,2000,1.0,report,0.005499999999999949,0.018000000000000016,0.48165112950857997,1.7642384105960263,
en,igt,reward_loss_emphasis,post_loss_switching_rate,20,20,0.4169522144522145,0.3501923076923077,-0.06675990675990678,0.13412136664287025,0.12465790835912172,0.12947612734906466,pooled,0.9801324503311258,-0.49775742993784705,-0.505371548687563,0.505371548687563,independent_cell,0.95,2000,2000,1.0,report,2000,1.0,report,-0.1453666958041958,0.008177301864801794,-1.1893627764806716,0.0666666359352001,
en,bart,detailed,adjusted_average_pumps,20,20,2.8239114114114114,4.800253366190866,1.9763419547794543,0.670224841317945,1.119764213208266,0.9227874162291094,pooled,0.9801324503311258,2.948774549885575,2.0991583205001754,2.0991583205001754,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,1.5780456976165183,2.3926252837690534,1.5248293057687525,3.230441077059335,
en,bart,detailed,explosion_rate,20,20,0.07875,0.1375,0.05875000000000001,0.01862899550926487,0.035817519970568944,0.028547628715239342,pooled,0.9801324503311258,3.1536858748385828,2.017077566453522,2.017077566453522,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,0.042499999999999996,0.07375,1.3180070625292486,3.249368017831436,
en,bart,detailed,post_explosion_adjustment,20,20,-0.9416666666666667,-0.7864285714285715,0.15523809523809518,1.3070602253716306,1.1040584410140455,1.2098246719923722,pooled,0.9801324503311258,0.11876889237751613,0.1257652436694647,0.1257652436694647,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.6820625,1.0138809523809522,-0.6055161896795921,0.8584659897612381,
en,bart,role_human,adjusted_average_pumps,20,20,2.8239114114114114,2.9507600313714866,0.12684861996007513,0.670224841317945,0.6821579861351034,0.6762177371111927,pooled,0.9801324503311258,0.18926278487475515,0.18385860334531043,0.18385860334531043,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.09509809225966356,0.32942861633747883,-0.15350734887563916,0.6189206406203306,
en,bart,role_human,explosion_rate,20,20,0.07875,0.095,0.01625,0.01862899550926487,0.02991215208080594,0.024917627453165298,pooled,0.9801324503311258,0.872296093040459,0.6391921681876482,0.6391921681876482,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,0.0050000000000000044,0.027499999999999997,0.22829389707301137,1.0981577090830998,
en,bart,role_human,post_explosion_adjustment,20,20,-0.9416666666666667,-0.8441666666666667,0.09749999999999992,1.3070602253716306,1.178626356280606,1.2445012094144055,pooled,0.9801324503311258,0.0745948794917068,0.07678812457904433,0.07678812457904433,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.6333749999999999,0.8233958333333329,-0.5097451180786334,0.7168529496689783,
en,bart,risk_emphasis,adjusted_average_pumps,20,20,2.8239114114114114,1.5125013677645256,-1.3114100436468858,0.670224841317945,0.6075181106189621,0.6396403648339034,pooled,0.9801324503311258,-1.9566717954949266,-2.009497227089853,2.009497227089853,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-1.561248286494997,-1.0661903388712601,-3.8747463318446203,-1.3272119723297366,
en,bart,risk_emphasis,explosion_rate,20,20,0.07875,0.0425,-0.03625,0.01862899550926487,0.016423667133294656,0.01756098396715676,pooled,0.9801324503311258,-1.94589128447487,-2.0232238347778537,2.0232238347778537,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-0.045,-0.02874999999999999,-2.8881746661123944,-1.497369794820364,
en,bart,risk_emphasis,post_explosion_adjustment,20,20,-0.9416666666666667,-1.2916666666666667,-0.3500000000000001,1.3070602253716306,1.599410527378046,1.460568462591921,pooled,0.9801324503311258,-0.26777649048305036,-0.2348718094372139,0.2348718094372139,paired_environment_seed,0.95,2000,2000,1.0,report,2000,1.0,report,-1.2001041666666665,0.500104166666666,-0.7807351854955289,0.4125020539618584,
